measure,caller,seasons,n,actual,expected,resid,epa
under_center_pass_pp,Kevin O'Connell,4,2622,27.7269260106789,16.238717792422,11.4882082182569,-0.0464417258725792
under_center_pass_pp,Sean McVay,4,2624,28.9634146341463,17.5284211403999,11.4349934937464,0.0482499308498341
under_center_pass_pp,Klint Kubiak,3,1481,26.6711681296421,15.3038005586125,11.3673675710296,-0.0558915586084384
under_center_pass_pp,Josh McDaniels,3,1596,23.2456140350877,15.66023060792,7.58538342716772,0.0291960949724757
under_center_pass_pp,Nathaniel Hackett,3,1212,19.6369636963696,14.3523587971479,5.28460489922178,-0.240975344137683
under_center_pass_pp,Joe Lombardi,1,795,21.0062893081761,16.2490440277916,4.75724528038452,-0.00046778383881532
under_center_pass_pp,Bobby Slowik,2,1390,20.2877697841727,16.1660749995796,4.12169478459303,-0.0200751179588034
under_center_pass_pp,Bo Hardegree,2,824,16.868932038835,12.7723361060331,4.09659593280188,-0.177744326128588
under_center_pass_pp,Kyle Shanahan,4,2499,20.7282913165266,17.4265828884241,3.30170842810251,0.127080581734935
under_center_pass_pp,Kevin Stefanski,4,1912,17.5732217573222,14.5036961805006,3.06952557682155,-0.216859460352418
under_center_pass_pp,Todd Downing,2,949,18.1243414120127,15.0626257330732,3.06171567893949,-0.0630453960946493
under_center_pass_pp,Matt LaFleur,4,2360,18.9830508474576,16.741753177593,2.2412976698646,0.0811245863294325
under_center_pass_pp,Liam Coen,2,1265,18.498023715415,16.9355482035206,1.56247551189441,0.0932677867935541
under_center_pass_pp,Joe Brady,3,1473,17.990495587237,16.8731551823423,1.11734040489471,0.147163203011886
under_center_pass_pp,Pete Carmichael,2,1191,15.7850545759866,15.1026456144022,0.682408961584339,0.0043731863351612
under_center_pass_pp,Mike Kafka,3,1812,14.9558498896247,14.3107823539969,0.645067535627842,-0.10856470074114
under_center_pass_pp,Arthur Smith,4,2218,15.9603246167719,15.3167256836866,0.643598933085279,-0.0656949356798757
under_center_pass_pp,Byron Leftwich,1,839,15.3754469606675,14.8173064336733,0.558140526994116,-0.0130423864258702
under_center_pass_pp,Sean Payton,3,1899,16.4296998420221,16.2327574510159,0.196942391006195,-0.0261007993434978
under_center_pass_pp,Drew Petzing,3,1877,15.2370804475226,15.316736312014,-0.0796558644913348,-0.0585116002610428
under_center_pass_pp,Shane Waldron,3,1598,15.2690863579474,16.2124142192073,-0.94332786125989,-0.0512795587321909
under_center_pass_pp,Scott Turner,2,937,13.3404482390608,14.3850791924921,-1.04463095343131,-0.104358831243619
under_center_pass_pp,Dave Canales,3,1868,13.8115631691649,14.9570973104412,-1.14553414127635,-0.0670697383482378
under_center_pass_pp,Greg Roman,3,1812,14.4039735099338,16.0993099795237,-1.69533646958993,-0.0581247211235041
under_center_pass_pp,Mike McCarthy,2,1392,15.301724137931,17.2479273290233,-1.94620319109227,0.00355633119008802
under_center_pass_pp,Luke Getsy,3,1346,11.8127786032689,14.7574863100184,-2.94470770674949,-0.20169250726877
under_center_pass_pp,Kellen Moore,4,2562,12.4121779859485,15.7865886820028,-3.37441069605431,-0.000821840877835055
under_center_pass_pp,Ken Dorsey,3,1570,14.140127388535,17.7238822972349,-3.58375490869982,-0.026482714588048
under_center_pass_pp,Doug Pederson,1,713,11.781206171108,15.4437901590478,-3.66258398793979,0.0427466967570246
under_center_pass_pp,Mike McDaniel,4,2457,12.2100122100122,15.8865782553601,-3.67656604534789,0.0277885136247217
under_center_pass_pp,Zac Robinson,2,1160,9.99999999999998,14.4573950673582,-4.45739506735822,0.000542948134885853
