coach,season,n_games,mean_residual
Joe Philbin,2014,16,0.02444647355431455
Joe Philbin,2015,16,-0.09787436588920001
Joe Philbin,2018,4,0.010421582625375916
Joe Vitt,2005,11,-0.08415796676803672
Joe Vitt,2012,10,-0.11283297070558565
John Fox,2002,16,-0.04672844634892121
John Fox,2003,16,0.07370561111170908
John Fox,2004,16,0.06846970948693358
John Fox,2005,16,0.09749389147752921
John Fox,2006,16,-0.12433263133380518
John Fox,2007,16,-0.016532231942361687
John Fox,2008,16,0.06072357207138412
John Fox,2009,16,-0.03292288069715533
John Fox,2010,16,-0.10440237322152054
John Fox,2011,16,0.019562455015044333
John Fox,2012,16,0.35339268444049865
John Fox,2013,16,0.1436078553892673
John Fox,2014,16,0.2182040645401369
John Fox,2015,16,-0.08000323155975893
John Fox,2016,16,-0.15020969907637055
John Fox,2017,16,-0.010877107423618436
John Harbaugh,2008,16,0.24313073728307272
John Harbaugh,2009,16,0.2584116992550614
John Harbaugh,2010,16,0.022793039208648624
John Harbaugh,2011,16,0.05685419529298605
John Harbaugh,2012,16,0.027879672603513206
John Harbaugh,2013,16,-0.09893227012836957
John Harbaugh,2014,16,0.1529500631805723
John Harbaugh,2015,16,-0.05260191859628435
John Harbaugh,2016,16,-0.07716769858651194
John Harbaugh,2017,16,0.10673214401856199
John Harbaugh,2018,16,0.23021189713830953
John Harbaugh,2019,16,0.315037147360592
John Harbaugh,2020,16,0.1166248471566736
John Harbaugh,2021,17,-0.09563189606004921
John Harbaugh,2022,17,-0.038429939652322935
John Harbaugh,2023,17,0.11326199434384715
John Harbaugh,2024,17,0.22388045462901615
John Harbaugh,2025,17,0.06872128519585277
Jon Gruden,2000,16,0.11923112427604604
Jon Gruden,2001,16,-0.0488164672162455
Jon Gruden,2002,16,0.21202173134377858
Jon Gruden,2003,16,0.20111255350427892
Jon Gruden,2004,16,0.00573437150129549
Jon Gruden,2005,16,0.010808124059111992
Jon Gruden,2006,16,-0.1873982764258833
Jon Gruden,2007,16,-0.015547203243721611
Jon Gruden,2008,16,0.10515657186955585
Jon Gruden,2018,16,-0.3493959306014686
Jon Gruden,2019,16,-0.18129190859545047
Jon Gruden,2020,16,-0.14636823270674504
Jon Gruden,2021,5,0.24083345564226935
Jonathan Gannon,2023,17,-0.11137863077551366
Jonathan Gannon,2024,17,0.009848911284967515
Jonathan Gannon,2025,17,-0.13102227138491268
Josh McDaniels,2009,16,0.10606759254103976
Josh McDaniels,2010,12,-0.1260747020860384
Josh McDaniels,2022,17,-0.07665591697745926
Josh McDaniels,2023,8,-0.1859851658135859
Kellen Moore,2025,17,0.09923083719262712
Ken Whisenhunt,2007,16,-0.012963562602192743
Ken Whisenhunt,2008,16,0.0671669203382733
Ken Whisenhunt,2009,16,0.0539972466771102
Ken Whisenhunt,2010,16,-0.18204166383922887
Ken Whisenhunt,2011,16,0.10466925832071343
Ken Whisenhunt,2012,16,-0.12521069906221222
Ken Whisenhunt,2014,16,-0.2556718672176625
Ken Whisenhunt,2015,16,-0.14709706892201269
Kevin O'Connell,2022,17,0.016602465893295688
Kevin O'Connell,2023,17,-0.017522612100928273
Kevin O'Connell,2024,17,0.05055843190719578
Kevin O'Connell,2025,17,-0.03149263502471805
Kevin Stefanski,2020,16,-0.09281915849709847
Kevin Stefanski,2021,17,-0.021391583103719327
Kevin Stefanski,2022,17,-0.003399853885720306
Kevin Stefanski,2023,17,0.0779684840073645
Kevin Stefanski,2024,17,-0.10615994557737896
Kevin Stefanski,2025,17,-0.12225265026990915
Kliff Kingsbury,2019,16,-0.08352225609303583
Kliff Kingsbury,2020,16,0.05857425030563666
