coach,first_season,last_season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,sd_wae,sd_rate_per17,z,outside_cone,eligible
Nathaniel Hackett,2022,2022,15,4,7.424689683888645,-3.424689683888646,-3.881314975073799,1.8364373918432473,2.0812957107556804,-1.8648551260717126,FALSE,FALSE
Mike McCoy,2013,2016,64,27,30.52918681716649,-3.5291868171664884,-0.9374402483098485,3.733554771772612,0.9917254862521,-0.9452618303201981,FALSE,TRUE
Chip Kelly,2013,2016,63,28,31.532880935021794,-3.5328809350218005,-0.9533170777042954,3.688514256632933,0.9953133708374582,-0.9578059590440073,FALSE,TRUE
Anthony Lynn,2016,2020,65,33,36.56564379939084,-3.5656437993908656,-0.9325529936868417,3.715946718718418,0.9718629879725093,-0.9595519175314252,FALSE,TRUE
Mike Martz,2000,2005,85,53,56.64838025929247,-3.648380259292476,-0.7296760518584952,4.059120272688816,0.8118240545377631,-0.8988105831305511,FALSE,TRUE
Robert Saleh,2021,2024,68,23,26.910263754306587,-3.9102637543065852,-0.9775659385766464,3.787761554466978,0.9469403886167445,-1.032341581717344,FALSE,TRUE
Matt Patricia,2018,2020,43,13.5,17.439707044226747,-3.939707044226751,-1.5575585988803435,3.0583939405932465,1.2091324881415162,-1.2881620617723801,FALSE,TRUE
Jonathan Gannon,2023,2025,51,15,19.05141014394035,-4.051410143940348,-1.350470047980116,3.239899467933388,1.0799664893111294,-1.2504740298391397,FALSE,TRUE
Dan Reeves,1999,2003,77,28.5,32.721965495982104,-4.221965495982097,-0.9321222523596837,4.04892945215111,0.8939194894359593,-1.0427362456856484,FALSE,TRUE
Cam Cameron,2007,2007,16,1,5.248163211185191,-4.248163211185191,-4.513673411884265,1.7690305625659142,1.8795949727262837,-2.4014074720243306,TRUE,TRUE
George Seifert,1999,2001,48,16,20.285641477891076,-4.285641477891078,-1.5178313567530901,3.118924358477189,1.1046190436273378,-1.3740767602275346,FALSE,TRUE
Matt Eberflus,2022,2024,51,15,19.299877149616453,-4.299877149616462,-1.4332923832054871,3.304498610445706,1.1014995368152354,-1.301219233690796,FALSE,TRUE
Dennis Erickson,2003,2004,32,9,13.306546280083442,-4.306546280083444,-2.2878527112943297,2.580668188519478,1.3709799751509726,-1.6687717929960215,FALSE,TRUE
Tom Coughlin,1999,2015,256,135,139.35116571092365,-4.351165710923672,-0.28894459799102507,7.3954821040369145,0.49110623347120136,-0.58835457238799,FALSE,TRUE
Vance Joseph,2017,2018,32,11,15.414476947301445,-4.414476947301446,-2.3451908782538933,2.6828691916891896,1.425274258084882,-1.6454313020464484,FALSE,TRUE
Josh McDaniels,2009,2023,53,20,24.483187536014473,-4.483187536014471,-1.4380035492876606,3.408957274778895,1.0934391258724756,-1.3151198958060424,FALSE,TRUE
Chan Gailey,1999,2012,64,24,28.562625826079387,-4.562625826079399,-1.2119474850523404,3.7152369160722123,0.9868598058316814,-1.2280847572173286,FALSE,TRUE
Matt Rhule,2020,2022,38,11,15.704177370337757,-4.70417737033775,-2.1045004025195198,2.878319630008688,1.2876693081617816,-1.6343485001780538,FALSE,TRUE
Doug Marrone,2013,2020,98,38,42.744570083744605,-4.744570083744607,-0.8230376675883503,4.589530372654342,0.796143023827794,-1.0337811711660159,FALSE,TRUE
Romeo Crennel,2005,2020,95,32,36.94323959013981,-4.943239590139825,-0.8845797161302845,4.458253085637293,0.7977926574298313,-1.1087839777568853,FALSE,TRUE
Dennis Green,1999,2006,95,42,47.13155739383207,-5.13155739383208,-0.9182786915278458,4.512009265366728,0.8074121843287828,-1.1373109167174984,FALSE,TRUE
Steve Spagnuolo,2009,2017,52,11,16.190919942722456,-5.190919942722462,-1.6970315197361896,3.1610175566334617,1.0334095858224779,-1.642167387469648,FALSE,TRUE
Brian Callahan,2024,2025,34,6,11.242210090428289,-5.242210090428289,-2.6211050452141444,2.614394552699623,1.3071972763498114,-2.005133496401752,TRUE,TRUE
Marty Mornhinweg,2001,2002,32,5,10.328368813364019,-5.328368813364017,-2.8306959320996343,2.5539266280341746,1.3567735211431553,-2.0863437323825567,TRUE,TRUE
Mike Riley,1999,2001,48,14,19.403107203747684,-5.403107203747682,-1.9136004679939709,3.1871969634508224,1.1287989245554997,-1.695253624331288,FALSE,TRUE
Mike Shanahan,1999,2013,224,115,120.99643419512199,-5.99643419512215,-0.4550865237369489,6.954375169313471,0.5277874012425402,-0.8622534805976123,FALSE,TRUE
Ken Whisenhunt,2007,2015,128,50,56.26401083658911,-6.264010836589115,-0.8319389392344918,5.198495983608293,0.6904252478229764,-1.204965985612101,FALSE,TRUE
