off_caller,tier,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_era_shrunk,rank_open,n_in_tier_contested,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,n_in_tier_comp
Press Taylor,WR3,104,20.192307692307693,1.9113966064716337,-5.803937826456426,9.626731039399694,0.8538754073584712,20,28,104,55.76923076923078,59.509335501262775,-3.740104732032,-12.408312271720709,4.928102807656709,22,28
Sean McVay,WR3,203,13.300492610837438,-4.302671021884915,-8.974105163253473,0.36876311948364293,-2.9591328950398093,5,28,203,57.63546798029557,59.85062539283865,-2.2151574125430904,-8.628054220878397,4.197739395792217,16,28
Sean Payton,WR3,134,11.940298507462687,-5.416163317218983,-10.906511268718482,0.07418463428051769,-3.3285800474302434,4,28,134,63.43283582089552,63.80807949758288,-0.3752436766873528,-7.209408272969974,6.458920919595269,9,28
Shane Steichen,WR3,262,27.099236641221374,9.754867075808054,4.372789015638971,15.136945135977136,6.0866059917958,28,28,262,54.961832061068705,55.55005788461853,-0.5882258235498095,-6.415268542282137,5.238816895182518,12,28
Shane Waldron,WR3,150,14.666666666666666,-3.5412286095214274,-9.202780706618842,2.1203234875759884,-2.124448818865831,9,28,150,61.33333333333333,65.67809888720512,-4.344765553871791,-11.453944404626,2.7644132968824184,23,28
Todd Monken,WR3,119,18.48739495798319,0.7133192476277621,-6.26149806407659,7.688136559332114,0.35450359423953975,18,28,119,53.781512605042025,60.521670161676,-6.740157556633997,-15.244644005016927,1.7643288917489341,25,28
Zac Robinson,WR3,120,10.833333333333334,-6.274980930587338,-11.835915271212187,-0.7140465899624884,-3.8182934880255304,3,28,120,64.16666666666667,67.09844097495079,-2.9317743082841194,-11.048609272352568,5.18506065578433,20,28
Zac Taylor,WR3,271,19.55719557195572,2.105615930411517,-2.61684438039205,6.828076241215084,1.4382583458019846,23,28,271,61.254612546125465,62.55536076107588,-1.3007482149504113,-7.086736021765034,4.485239591864211,13,28
Andy Reid,TE,512,9.765625,-3.665581736696655,-6.236907610109812,-1.094255863283498,-2.868177384080447,4,36,512,73.4375,69.93107400776353,3.5064259922364727,-0.15412753477741115,7.166979519250356,11,36
Arthur Smith,TE,278,16.906474820143885,3.508742454610017,-0.8972504800677097,7.914735389287744,1.9318154647167245,32,36,278,66.18705035971223,65.53471659799274,0.6523337617194876,-4.634547126963374,5.9392146504023495,21,36
Ben Johnson,TE,318,17.92452830188679,4.564676432664296,0.3489436705326794,8.780409194795912,2.612392630658449,35,36,318,70.12578616352201,68.11066769391486,2.015118469607153,-2.8714375241223906,6.901674463336697,18,36
Bo Hardegree,TE,80,7.5,-5.813194953252056,-11.585012258053032,-0.04137764845108016,-2.4213334565250393,6,36,80,72.5,74.17248794808984,-1.6724879480898407,-11.619819920833592,8.274844024653909,27,36
Bobby Slowik,TE,170,12.941176470588236,-0.32246320034626663,-5.368203423802616,4.723277023110083,-0.15573772648286757,14,36,170,65.29411764705883,67.58297133971664,-2.2888536926578067,-9.054549728199325,4.476842342883712,31,36
Dave Canales,TE,137,13.138686131386862,-0.17026210920949403,-5.827246154405455,5.486721935986467,-0.07258669269652025,16,36,137,72.26277372262774,72.08300837635124,0.1797653462764969,-6.939652164920292,7.299182857473286,23,36
